,Germany,Italy,US,United Kingdom
2020-01-30,0,0,0,1
2020-01-31,0,0,0,1
2020-02-01,0,0,0,1
2020-02-02,0,0,0,2
2020-02-03,0,0,0,2
2020-02-04,0,0,0,2
2020-02-05,0,0,0,2
2020-02-06,0,0,0,2
2020-02-07,0,0,0,2
2020-02-08,0,0,0,2
2020-02-09,0,0,0,2
2020-02-10,0,0,0,2
2020-02-11,0,0,0,2
2020-02-12,0,0,0,2
2020-02-13,0,0,0,2
2020-02-14,0,0,0,2
2020-02-15,0,0,0,2
2020-02-16,0,0,0,2
2020-02-17,0,0,0,2
2020-02-18,0,0,0,2
2020-02-19,0,0,0,2
2020-02-20,0,0,0,2
2020-02-21,0,1,0,2
2020-02-22,0,2,0,3
2020-02-23,0,3,0,3
2020-02-24,0,7,0,3
2020-02-25,0,10,0,3
2020-02-26,0,12,0,3
2020-02-27,0,17,0,3
2020-02-28,0,21,0,3
2020-02-29,0,29,1,3
2020-03-01,0,34,1,3
2020-03-02,0,52,6,4
2020-03-03,0,79,7,4
2020-03-04,0,107,11,5
2020-03-05,0,148,12,7
2020-03-06,0,197,14,9
2020-03-07,0,233,17,9
2020-03-08,0,366,21,11
2020-03-09,2,463,22,16
2020-03-10,2,631,28,19
2020-03-11,3,827,33,26
2020-03-12,5,1016,43,39
2020-03-13,5,1266,51,55
2020-03-14,8,1441,58,76
2020-03-15,12,1809,70,107
2020-03-16,13,2158,97,158
2020-03-17,12,2503,134,216
2020-03-18,12,2978,194,289
2020-03-19,20,3405,266,368
2020-03-20,31,4032,372,486
2020-03-21,47,4825,475,630
2020-03-22,55,5476,603,813
2020-03-23,86,6077,790,1021
2020-03-24,114,6820,1033,1284
2020-03-25,149,7503,1366,1621
2020-03-26,198,8215,1783,2034
2020-03-27,253,9134,2305,2497
2020-03-28,325,10023,3018,3013
2020-03-29,389,10779,3573,3599
2020-03-30,455,11591,4280,4310
2020-03-31,583,12428,5359,5141
2020-04-01,732,13155,6996,6065
2020-04-02,872,13915,8545,7072
2020-04-03,1017,14681,9973,8133
2020-04-04,1158,15362,11593,9280
2020-04-05,1342,15887,13216,10500
2020-04-06,1434,16523,14979,11670
2020-04-07,1607,17127,17585,12963
2020-04-08,1861,17669,19737,14424
2020-04-09,2107,18279,21993,15799
2020-04-10,2373,18849,24207,17118
2020-04-11,2544,19468,26311,18483
2020-04-12,2673,19899,28194,19861
2020-04-13,2799,20465,30195,21093
2020-04-14,2969,21067,32676,22347
2020-04-15,3254,21645,35300,23623
2020-04-16,3569,22170,37487,24945
2020-04-17,3868,22745,39591,26217
2020-04-18,4110,23227,41534,27406
2020-04-19,4294,23660,43501,28528
2020-04-20,4404,24114,45787,29688
2020-04-21,4598,24648,48239,30773
2020-04-22,4879,25085,50704,31875
2020-04-23,5094,25549,53132,32913
2020-04-24,5321,25969,55196,33918
2020-04-25,5500,26384,56935,34837
2020-04-26,5640,26644,58350,35731
2020-04-27,5750,26977,59837,36597
2020-04-28,5913,27359,62069,37398
2020-04-29,6115,27682,64443,38215
2020-04-30,6288,27967,66635,38995
2020-05-01,6481,28236,68515,39781
2020-05-02,6575,28710,70258,40486
2020-05-03,6649,28884,71461,41148
2020-05-04,6692,29079,72831,41824
2020-05-05,6831,29315,75010,42466
2020-05-06,6996,29684,77331,43093
2020-05-07,7119,29958,79237,43724
2020-05-08,7266,30201,81006,44293
2020-05-09,7369,30395,82477,44832
2020-05-10,7395,30560,83478,45326
2020-05-11,7417,30739,84504,45754
2020-05-12,7533,30911,86096,46195
2020-05-13,7634,31106,87791,46649
2020-05-14,7723,31368,89560,47114
2020-05-15,7824,31610,91188,47535
2020-05-16,7881,31763,92357,47954
2020-05-17,7914,31908,93172,48331
2020-05-18,7935,32007,94394,48738
2020-05-19,8007,32169,95822,49110
2020-05-20,8090,32330,97292,49463
2020-05-21,8147,32486,98474,49805
2020-05-22,8174,32616,99678,50105
2020-05-23,8216,32735,100756,50389
2020-05-24,8247,32785,101395,50670
2020-05-25,8257,32877,101995,50949
2020-05-26,8302,32955,102648,51249
2020-05-27,8349,33072,104100,51531
2020-05-28,8411,33142,105166,51819
2020-05-29,8450,33229,106275,52073
2020-05-30,8489,33340,107223,52292
2020-05-31,8500,33415,107846,52487
2020-06-01,8511,33475,108613,52686
2020-06-02,8522,33530,109584,52919
2020-06-03,8551,33601,110584,53122
2020-06-04,8581,33689,111582,53305
2020-06-05,8613,33774,112452,53489
2020-06-06,8646,33846,113090,53640
2020-06-07,8668,33899,113550,53803
2020-06-08,8674,33964,114052,53964
2020-06-09,8711,34043,114961,54101
2020-06-10,8729,34114,115819,54267
2020-06-11,8755,34167,116630,54388
2020-06-12,8763,34223,117453,54523
2020-06-13,8781,34301,118159,54624
2020-06-14,8787,34345,118507,54760
2020-06-15,8791,34371,118905,54867
2020-06-16,8800,34405,119681,54987
2020-06-17,8830,34448,120422,55092
2020-06-18,8856,34514,121119,55182
2020-06-19,8872,34561,121750,55270
2020-06-20,8883,34610,122313,55357
2020-06-21,8882,34634,122632,55437
2020-06-22,8885,34657,123011,55520
2020-06-23,8895,34675,123741,55617
2020-06-24,8914,34644,124496,55718
2020-06-25,8927,34678,125047,55826
2020-06-26,8948,34708,125676,55905
